data_frac,trial_i,performance,failed
0.001,0,0.5,False
0.001,1,0.5,False
0.001,2,0.5,False
0.001,3,0.5,False
0.001,4,0.5,False
0.001,5,0.5,False
0.001,6,0.5,False
0.001,7,0.5,False
0.001,8,0.5,False
0.001,9,0.5,False
0.001,10,0.5,False
0.001,11,0.5,False
0.001,12,0.5,False
0.001,13,0.5,False
0.001,14,0.5,False
0.001,15,0.5,False
0.001,16,0.5,False
0.001,17,0.5,False
0.001,18,0.5,False
0.001,19,0.5,False
0.001,20,0.5,False
0.001,21,0.5,False
0.001,22,0.5,False
0.001,23,0.5,False
0.001,24,0.5,False
0.001,25,0.5,False
0.001,26,0.5,False
0.001,27,0.5,False
0.001,28,0.5,False
0.001,29,0.5,False
0.001,30,0.5,False
0.001,31,0.5,False
0.001,32,0.5,False
0.001,33,0.5,False
0.001,34,0.5,False
0.001,35,0.5,False
0.001,36,0.5,False
0.001,37,0.5,False
0.001,38,0.5,False
0.001,39,0.5,False
0.001,40,0.5,False
0.001,41,0.5,False
0.001,42,0.5,False
0.001,43,0.5,False
0.001,44,0.5,False
0.001,45,0.5,False
0.001,46,0.5,False
0.001,47,0.5,False
0.001,48,0.5,False
0.001,49,0.5,False
0.001637893706954,0,0.5,False
0.001637893706954,1,0.5,False
0.001637893706954,2,0.5,False
0.001637893706954,3,0.5,False
0.001637893706954,4,0.5,False
0.001637893706954,5,0.5,False
0.001637893706954,6,0.5,False
0.001637893706954,7,0.5,False
0.001637893706954,8,0.5,False
0.001637893706954,9,0.5,False
0.001637893706954,10,0.5,False
0.001637893706954,11,0.5,False
0.001637893706954,12,0.5,False
0.001637893706954,13,0.5,False
0.001637893706954,14,0.5,False
0.001637893706954,15,0.5,False
0.001637893706954,16,0.5,False
0.001637893706954,17,0.5,False
0.001637893706954,18,0.5,False
0.001637893706954,19,0.5,False
0.001637893706954,20,0.5,False
0.001637893706954,21,0.5,False
0.001637893706954,22,0.5,False
0.001637893706954,23,0.5,False
0.001637893706954,24,0.5,False
0.001637893706954,25,0.5,False
0.001637893706954,26,0.5,False
0.001637893706954,27,0.5,False
0.001637893706954,28,0.5,False
0.001637893706954,29,0.5,False
0.001637893706954,30,0.5,False
0.001637893706954,31,0.5,False
0.001637893706954,32,0.5,False
0.001637893706954,33,0.5,False
0.001637893706954,34,0.5,False
0.001637893706954,35,0.5,False
0.001637893706954,36,0.5,False
0.001637893706954,37,0.5,False
0.001637893706954,38,0.5,False
0.001637893706954,39,0.5,False
0.001637893706954,40,0.5,False
0.001637893706954,41,0.5,False
